rx,ry,rtheta,hx1,hy1,hx2,hy2
1.49865,10.1547,1.58,4,14.2,9,6.5
1.49856,10.1647,1.58,4,14.05,9,6.65
1.49847,10.1747,1.58,4,13.9,9,6.8
1.49838,10.1847,1.58,4,13.75,9,6.95
1.49828,10.1947,1.58,4,13.6,9,7.1
1.49819,10.2047,1.58,4,13.45,9,7.25
1.4981,10.2147,1.58,4,13.3,9,7.4
1.49801,10.2247,1.58,4,13.15,9,7.55
1.49792,10.2347,1.58,4,13,9,7.4
1.49782,10.2447,1.58,4,12.85,9,7.25
1.49773,10.2547,1.58,4,12.7,9,7.1
1.49764,10.2647,1.58,4,12.55,9,6.95
1.49755,10.2747,1.58,4,12.4,9,6.8
1.49746,10.2847,1.58,4,12.25,9,6.65
1.49736,10.2947,1.58,4,12.1,9,6.5
1.49727,10.3047,1.58,4,11.95,9,6.35
1.49718,10.3147,1.58,4,11.8,9,6.2
1.49709,10.3246,1.58,4,11.65,9,6.05
1.497,10.3346,1.58,4,11.5,9,5.9
1.4969,10.3446,1.58,4,11.35,9,5.75
1.49681,10.3546,1.58,4,11.5,9,5.6
1.49672,10.3646,1.58,4,11.65,9,5.45
1.49608,10.4346,1.48,4,11.8,9,5.3
1.50242,10.5044,1.39,4,11.95,9,5.15
1.51321,10.5634,1.3,4,12.1,9,5
1.52926,10.6212,1.21,4,12.25,9,4.85
1.55044,10.6773,1.13,4,12.4,9,4.7
1.57178,10.7225,1.06,4,12.55,9,4.55
1.59622,10.7662,0.99,4,12.7,9,4.4
1.62365,10.808,0.92,4,12.85,9,4.25
1.64789,10.8398,0.86,4,13,9,4.1
1.67398,10.8701,0.8,4,13.15,9,3.95
1.70185,10.8988,0.74,4,13.3,9,3.8
1.73139,10.9258,0.69,4,13.45,9,3.65
1.76224,10.9512,0.64,4,13.6,9,3.5
1.7863,10.9691,0.59,4,13.75,9,3.35
1.81123,10.9858,0.54,4,13.9,9,3.2
1.83696,11.0013,0.5,4,14.05,9,3.05
1.86329,11.0156,0.46,4,14.2,9,2.9
1.89017,11.029,0.42,4,14.35,9,2.75
1.91756,11.0412,0.38,4,14.5,9,2.6
1.93614,11.0486,0.34,4,14.65,9,2.45
1.95499,11.0553,0.31,4,14.8,9,2.6
1.97404,11.0614,0.28,4,14.95,9,2.75
1.99326,11.0669,0.25,4,15.1,9,2.9
2.01264,11.0719,0.22,4,15.25,9,3.05
2.03216,11.0762,0.19,4,15.4,9,3.2
2.0518,11.08,0.16,4,15.55,9,3.35
2.07154,11.0832,0.13,4,15.4,9,3.5
2.09137,11.0858,0.11,4,15.25,9,3.65
2.11125,11.088,0.0899998,4,15.1,9,3.8
2.13117,11.0898,0.0599998,4,14.95,9,3.95
2.14115,11.0904,0.0399998,4,14.8,9,4.1
2.15114,11.0908,0.0199998,4,14.65,9,4.25
2.16114,11.091,-1.9744e-07,4,14.5,9,4.4
2.17114,11.091,-0.0200002,4,14.35,9,4.55
2.18114,11.0908,-0.0400002,4,14.2,9,4.7
2.19113,11.0904,-0.0600002,4,14.05,9,4.85
2.20112,11.0898,-0.0700002,4,13.9,9,5
2.21109,11.0891,-0.0800002,4,13.75,9,5.15
2.22106,11.0883,-0.0900002,4,13.6,9,5.3
2.23102,11.0874,-0.1,4,13.45,9,5.45
2.24097,11.0864,-0.11,4,13.3,9,5.6
2.25091,11.0853,-0.12,4,13.15,9,5.75
2.26084,11.0841,-0.13,4,13,9,5.9
2.27075,11.0828,-0.14,4,12.85,9,6.05
2.28065,11.0814,-0.15,4,12.7,9,6.2
2.29054,11.0799,-0.16,4,12.55,9,6.35
2.30041,11.0783,-0.16,4,12.4,9,6.5
2.31029,11.0767,-0.16,4,12.25,9,6.65
2.32016,11.0751,-0.18,4,12.1,9,6.8
2.33,11.0733,-0.21,4,11.95,9,6.95
2.33978,11.0712,-0.25,4,11.8,9,7.1
2.34947,11.0688,-0.29,4,11.65,9,7.25
